"PROCESSING_CODE","POS_DATA","Transaction.Amount","Merchant.Category.Code","Response.Code","POS.Entry.Mode"
0,"30100000",5146.4,4816,0,"???"
0,"30100000",12.99,5968,100,"???"
0,"30100000",3540,7311,116,"???"
0,"30100000",11.8,5734,100,"???"
0,"30100000",109,4899,0,"???"
0,"30100000",25000,5999,100,"???"
0,"30100000",24.95,5817,100,"???"
0,"30100000",12.99,5968,0,"???"
0,"30100000",12.99,5968,0,"???"
0,"30100000",12.99,5968,0,"???"
0,"30100000",200,7221,116,"???"
0,"30100000",1,4899,0,"???"
0,"30100000",12.99,5968,0,"???"
0,"30100000",4672.8,5045,100,"???"
0,"30100000",12.99,5968,100,"???"
0,"30100000",96.5,5734,100,"???"
0,"30100000",9.99,4899,0,"???"
0,"30100000",171.99,4816,100,"???"
0,"30100000",171.99,4816,100,"???"
0,"30100000",23.6,5734,100,"???"
0,"30100000",29.95,8211,0,"???"
0,"30100000",1140.95,5999,0,"???"
0,"30100000",29.1,4789,0,"???"
0,"30100000",1180,7311,0,"???"
0,"30100000",10.99,4899,100,"???"
0,"30100000",10.99,4899,100,"???"
0,"30100000",12.99,5968,0,"???"
0,"30100000",1267.4,7996,116,"???"
0,"30100000",1267.4,7996,116,"???"
0,"30100000",3.25,8699,100,"???"
0,"30100000",12223,5999,0,"???"
0,"30100000",11.99,4899,0,"???"
0,"30100000",2499,5968,100,"???"
0,"30100000",11.95,5734,0,"???"
0,"30100000",9.56,5968,0,"???"
0,"30100000",12.99,5968,100,"???"
0,"30100000",14.19,5968,0,"???"
0,"30100000",12.99,5968,0,"???"
0,"30100000",204,5045,0,"???"
0,"30100000",12.99,5968,100,"???"
0,"30100000",14.16,5968,100,"???"
0,"30100000",50,7392,100,"???"
0,"30100000",12.99,5968,0,"???"
0,"30100000",1151,7311,0,"???"
0,"30100000",30,7311,0,"???"
0,"30100000",12.99,5968,100,"???"
0,"30100000",39.95,5967,0,"???"
0,"30100000",1875.64,7372,100,"???"
0,"30100000",1600,7311,0,"???"
0,"30100000",12.99,5968,0,"???"
0,"30100000",12.99,5968,0,"???"
0,"30100000",24159.94,5999,0,"???"
0,"30100000",119,5968,0,"???"
0,"30100000",3596.79,5999,101,"???"
0,"30100000",650,4899,100,"???"
0,"30100000",800,4899,0,"???"
0,"30100000",1,4899,100,"???"
0,"30100000",12.99,5968,100,"???"
0,"30100000",9.99,4814,0,"???"
0,"30100000",1557.6,5045,0,"???"
0,"30100000",12.99,5968,100,"???"
0,"30100000",12.99,5968,100,"???"
0,"30100000",800,4899,0,"???"
0,"30100000",1,5968,0,"???"
0,"30100000",53.1,5968,116,"???"
0,"30100000",24.98,5968,0,"???"
0,"30100000",14.18,5045,0,"???"
0,"30100000",196,5968,100,"???"
0,"30100000",14,7372,100,"???"
0,"30100000",42.48,5968,0,"???"
0,"30100000",25778.67,7311,0,"???"
0,"30100000",22,4816,0,"???"
0,"30100000",500,4899,116,"???"
0,"30100000",10000,5999,116,"???"
0,"30100000",12.99,5968,100,"???"
0,"30100000",16.95,7321,0,"???"
0,"30100000",10.65,5968,100,"???"
0,"30100000",9,4814,0,"???"
0,"30100000",20,4816,100,"???"
0,"30100000",1,4899,0,"???"
0,"30100000",1,4899,101,"???"
0,"30100000",43.21,4814,0,"???"
0,"30100000",1170,5977,100,"???"
0,"30100000",7.99,5968,0,"???"
3000,"30100000",20.83,7372,0,"???"
0,"30100000",11,4899,0,"???"
0,"30100000",12.99,5968,0,"???"
0,"30100000",2454.71,7311,100,"???"
0,"30100000",2454.71,7311,100,"???"
0,"30100000",182.53,5968,100,"???"
0,"30100000",50,5999,0,"???"
0,"30100000",28,8398,0,"???"
0,"30100000",1,5815,100,"???"
0,"30100000",12671.95,5999,116,"???"
0,"30100000",650,4899,0,"???"
0,"30100000",1178.08,5999,0,"???"
0,"30100000",3550,7311,100,"???"
0,"30100000",12.99,5968,116,"???"
0,"30100000",650,4899,0,"???"
0,"30100000",71.88,5734,0,"???"
0,"30100000",10006.4,5045,116,"???"
0,"30100000",221.91,5045,0,"???"
0,"30100000",87347,3026,0,"???"
0,"30100000",87347,3026,0,"???"
0,"30100000",87347,3026,0,"???"
0,"30100000",87347,3026,101,"???"
0,"30100000",14263,3020,0,"???"
0,"30100000",28535,3020,0,"???"
0,"30100000",13062,3020,0,"???"
0,"30100000",17332,3020,0,"???"
0,"30100000",14038,3020,0,"???"
0,"30100000",16478,3040,0,"???"
0,"30100000",11373,3020,0,"???"
0,"30100000",32542,3034,0,"???"
0,"30100000",36,5734,100,"???"
0,"30100000",5.89,4816,0,"???"
0,"30100000",55.2,4816,0,"???"
920000,"340700000",249.53,5967,0,"102"
920000,"340700000",1483.5,5967,0,"102"
920000,"340700000",3040.97,5967,0,"102"
0,"1.00E+11",364.44,7011,0,"???"
0,"1.00E+11",1.3,4411,0,"???"
0,"1.00E+11",5704,4511,0,"???"
0,"1.00E+11",5028,4511,0,"???"
0,"1.00E+11",25,3058,0,"???"
0,"1.00E+11",9925,3008,0,"???"
0,"1.00E+11",3376,3056,0,"???"
0,"1.00E+11",3099,3056,0,"???"
0,"1.00E+11",15,3075,0,"???"
0,"1.00E+11",5815,4511,0,"???"
0,"1.00E+11",3646,3020,0,"???"
0,"1.00E+11",7478,4511,0,"???"
0,"1.00E+11",6593,3020,0,"???"
0,"1.00E+11",2340,3020,0,"???"
0,"1.00E+11",12474,3020,0,"???"
0,"1.00E+11",77473,3034,0,"???"
0,"1.00E+11",5815,4511,0,"???"
0,"1.00E+11",4729,3020,0,"???"
0,"1.00E+11",5815,4511,0,"???"
0,"1.00E+11",6948,4511,100,"???"
0,"1.00E+11",6948,4511,100,"???"
0,"1.00E+11",3021,3056,100,"???"
0,"1.00E+11",48805,3020,100,"???"
0,"1.00E+11",24497,3056,0,"???"
0,"1.00E+11",21673,4511,0,"???"
0,"1.00E+11",15352,3056,0,"???"
0,"1.00E+11",237.96,7311,101,"???"
0,"1.00E+11",281.24,7311,101,"???"
0,"1.00E+11",5782,5968,0,"???"
0,"1.00E+11",2832,5968,0,"???"
0,"1.00E+11",5782,5968,0,"???"
0,"1.00E+11",4900,5968,0,"???"
0,"1.00E+11",1652,5968,0,"???"
0,"1.00E+11",1,4899,101,"???"
0,"1.00E+11",1,4899,101,"???"
0,"1.00E+11",1,4899,101,"???"
0,"1.00E+11",2832,5968,0,"???"
0,"1.00E+11",1,4899,0,"???"
0,"1.00E+11",17.99,4899,0,"???"
0,"1.00E+11",1,5968,100,"???"
0,"1.00E+11",1652,5968,0,"???"
0,"1.00E+11",1652,5968,0,"???"
0,"1.00E+11",32.25,5734,100,"???"
0,"1.00E+11",2832,5968,0,"???"
0,"1.00E+11",1652,5968,0,"???"
0,"1.00E+11",13.98,4899,0,"???"
0,"1.00E+11",1652,5968,116,"???"
0,"1.00E+11",650,4899,100,"???"
0,"1.00E+11",1652,5968,116,"???"
0,"1.00E+11",6.85,4814,101,"12"
0,"1.00E+11",7.99,4899,0,"???"
0,"1.00E+11",824.82,4816,0,"???"
0,"1.00E+11",14.47,4411,0,"???"
0,"1.00E+11",4863,4121,0,"???"
0,"1.00E+11",299,7399,0,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",199,7829,0,"???"
0,"1.00E+11",8025,3056,0,"???"
0,"1.00E+11",126,5964,0,"???"
0,"1.00E+11",25,4784,0,"???"
0,"1.00E+11",2000,4814,0,"???"
0,"1.00E+11",75,8999,100,"???"
0,"1.00E+11",39.9,8999,100,"???"
0,"1.00E+11",588.69,4814,100,"???"
0,"1.00E+11",8.99,5815,0,"???"
0,"1.00E+11",1000,4814,0,"???"
0,"1.00E+11",1999,4121,0,"???"
0,"1.00E+11",149,5814,0,"???"
0,"1.00E+11",2000,4814,100,"???"
3000,"1.00E+11",30,5734,0,"???"
0,"1.00E+11",1000,4814,0,"???"
0,"1.00E+11",199,7829,0,"???"
0,"1.00E+11",500,5968,0,"???"
0,"1.00E+11",99,5733,100,"???"
3000,"1.00E+11",19,4121,0,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",500,5968,101,"???"
0,"1.00E+11",5624,6300,0,"???"
0,"1.00E+11",1995.38,5734,100,"???"
0,"1.00E+11",1995.38,5734,100,"???"
0,"1.00E+11",500,4814,100,"???"
0,"1.00E+11",2000,4814,0,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",588.64,4814,100,"???"
0,"1.00E+11",500,4814,100,"???"
0,"1.00E+11",480,4899,0,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",527.46,4814,100,"???"
0,"1.00E+11",5799,5734,100,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",500,4814,100,"???"
0,"1.00E+11",1563.5,7399,0,"???"
0,"1.00E+11",458,4121,0,"???"
0,"1.00E+11",771,4900,0,"???"
0,"1.00E+11",550,4814,0,"???"
0,"1.00E+11",1000,4814,0,"???"
0,"1.00E+11",1000,4814,0,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",707,5968,0,"???"
0,"1.00E+11",6606.82,4814,100,"???"
0,"1.00E+11",29,5734,116,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",169,4899,0,"???"
0,"1.00E+11",1000,4814,116,"???"
0,"1.00E+11",394.84,4814,100,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",1000,4814,0,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",100,4814,0,"???"
0,"1.00E+11",1500,4814,100,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",500,5968,100,"???"
0,"1.00E+11",50,4899,0,"???"
0,"1.00E+11",2948.82,5399,0,"???"
0,"1.00E+11",650,5968,100,"???"
0,"1.00E+11",2017.68,4814,100,"???"
0,"1.00E+11",199,7311,0,"???"
0,"1.00E+11",800,5968,0,"???"
0,"1.00E+11",450,4814,0,"???"
0,"1.00E+11",99,5733,100,"???"
0,"1.00E+11",1000,4899,0,"???"
0,"1.00E+11",2900,7011,116,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",1060.82,4814,100,"???"
0,"1.00E+11",1000,4814,0,"???"
0,"1.00E+11",500,5968,0,"???"
0,"1.00E+11",800,5968,0,"???"
0,"1.00E+11",293.78,4814,100,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",899,7399,0,"???"
0,"1.00E+11",6445.38,4814,100,"???"
0,"1.00E+11",143.48,4814,100,"???"
0,"1.00E+11",143.48,4814,100,"???"
0,"1.00E+11",143.48,4814,100,"???"
0,"1.00E+11",1999,4121,0,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",800,5968,0,"???"
0,"1.00E+11",100,4814,116,"???"
0,"1.00E+11",650,5968,100,"???"
0,"1.00E+11",500,4814,0,"???"
0,"1.00E+11",200,4814,0,"???"
0,"1.00E+11",448,4814,0,"???"
0,"1.00E+11",800,5968,0,"???"
0,"1.00E+11",1000,4814,0,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",1000,4814,0,"???"
0,"1.00E+11",3000,4899,0,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",199,7829,0,"???"
0,"1.00E+11",750,4814,0,"???"
0,"1.00E+11",2832,5968,0,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",500,5968,0,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",199,7829,0,"???"
0,"1.00E+11",1182.72,4814,0,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",248.24,3010,0,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",1000,4814,0,"???"
0,"1.00E+11",1596.54,5734,0,"???"
0,"1.00E+11",169,4899,0,"???"
0,"1.00E+11",500,5968,0,"???"
0,"1.00E+11",500,4814,116,"???"
0,"1.00E+11",921.58,4814,100,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",25,7372,0,"???"
0,"1.00E+11",800,5968,0,"???"
0,"1.00E+11",14000,3056,0,"???"
0,"1.00E+11",2000,4814,0,"???"
0,"1.00E+11",800,5968,0,"???"
0,"1.00E+11",800,5968,0,"???"
0,"1.00E+11",500,5968,0,"???"
0,"1.00E+11",1531.82,4814,0,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",1000,4814,0,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",800,4814,0,"???"
0,"1.00E+11",800,5968,0,"???"
0,"1.00E+11",2000,4814,0,"???"
0,"1.00E+11",500,4814,0,"???"
0,"1.00E+11",1892.53,5968,0,"???"
0,"1.00E+11",470.22,4814,100,"???"
0,"1.00E+11",29,5734,0,"???"
0,"1.00E+11",800,5968,0,"???"
0,"1.00E+11",1123.13,6513,116,"???"
0,"1.00E+11",1000,4814,116,"???"
0,"1.00E+11",100,4814,0,"???"
0,"1.00E+11",12.99,5734,100,"???"
0,"1.00E+11",199,7829,0,"???"
0,"1.00E+11",1652,5968,0,"???"
0,"1.00E+11",117,4814,100,"???"
0,"1.00E+11",800,5968,0,"???"
0,"1.00E+11",2000,4814,100,"???"
0,"1.00E+11",800,5968,0,"???"
0,"1.00E+11",199,7829,0,"???"
0,"1.00E+11",99,5045,116,"???"
0,"1.00E+11",100,4121,0,"???"
0,"1.00E+11",6500,3056,0,"???"
0,"1.00E+11",169,4899,0,"???"
0,"1.00E+11",800,5968,0,"???"
0,"1.00E+11",199,7829,0,"???"
0,"1.00E+11",47.9,5499,0,"???"
0,"1.00E+11",10,5734,0,"???"
0,"1.00E+11",92.08,5734,0,"???"
0,"1.00E+11",62.92,5734,0,"???"
0,"1.00E+11",16.59,5734,0,"???"
0,"1.00E+11",7000,3056,0,"???"
0,"1.00E+11",1931,4121,0,"???"
0,"1.00E+11",800,5968,0,"???"
0,"1.00E+11",2798,4121,100,"???"
0,"1.00E+11",1049.54,4814,100,"???"
0,"1.00E+11",1000,4814,0,"???"
0,"1.00E+11",6140,5968,0,"???"
0,"1.00E+11",800,5968,0,"???"
0,"1.00E+11",800,5968,100,"???"
0,"1.00E+11",1196.52,5734,100,"???"
0,"1.00E+11",1196.52,5734,100,"???"
0,"1.00E+11",199,7829,0,"???"
0,"1.00E+11",169,4899,0,"???"
0,"1.00E+11",4520,3056,0,"???"
3000,"1.00E+11",6344,4511,0,"???"
0,"1.00E+11",2549,5968,0,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",1652,5968,0,"???"
0,"1.00E+11",1000,4814,0,"???"
0,"1.00E+11",2000,4814,0,"???"
0,"1.00E+11",800,5968,0,"???"
0,"1.00E+11",199,7829,0,"???"
0,"1.00E+11",430.86,4814,100,"???"
0,"1.00E+11",1000,4814,0,"???"
0,"1.00E+11",2998,4121,0,"???"
0,"1.00E+11",650,5968,100,"???"
0,"1.00E+11",169,4899,0,"???"
0,"1.00E+11",1000,4814,0,"???"
0,"1.00E+11",1000,4814,0,"???"
0,"1.00E+11",299,7399,0,"???"
0,"1.00E+11",2000,4814,0,"???"
0,"1.00E+11",169,4899,0,"???"
0,"1.00E+11",500,4814,0,"???"
0,"1.00E+11",92,4121,0,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",599,4121,0,"???"
0,"1.00E+11",8.99,5815,100,"???"
0,"1.00E+11",8.99,5815,100,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",153,4131,0,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",800,5968,0,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",1000,4814,0,"???"
0,"1.00E+11",1296.82,4814,116,"???"
0,"1.00E+11",800,5968,0,"???"
0,"1.00E+11",1000,4814,0,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",1967,4722,0,"???"
0,"1.00E+11",149,5815,0,"???"
0,"1.00E+11",130,4899,0,"???"
0,"1.00E+11",500,5968,0,"???"
0,"1.00E+11",1500,4814,0,"???"
0,"1.00E+11",666.7,4814,116,"???"
0,"1.00E+11",300,4814,0,"???"
0,"1.00E+11",894,4121,0,"???"
0,"1.00E+11",1322.78,4814,100,"???"
0,"1.00E+11",565,4900,0,"???"
0,"1.00E+11",1000,4814,0,"???"
0,"1.00E+11",810,4121,0,"???"
0,"1.00E+11",500,4814,0,"???"
0,"1.00E+11",50,4899,0,"???"
0,"1.00E+11",1000,4814,116,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",3273,8299,0,"???"
0,"1.00E+11",149,4121,0,"???"
0,"1.00E+11",140,4814,0,"???"
0,"1.00E+11",100,4814,0,"???"
0,"1.00E+11",800,5968,100,"???"
0,"1.00E+11",1000,4814,116,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",199,7829,116,"???"
0,"1.00E+11",800,5968,0,"???"
0,"1.00E+11",378.38,4814,0,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",1000,4899,0,"???"
0,"1.00E+11",1000,4899,0,"???"
0,"1.00E+11",2495.9,7372,0,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",22.6,7997,100,"???"
0,"1.00E+11",708,7399,0,"???"
0,"1.00E+11",710,4814,0,"???"
0,"1.00E+11",100,4814,100,"???"
0,"1.00E+11",1900,4814,0,"???"
0,"1.00E+11",1679,7399,0,"???"
0,"1.00E+11",1596.54,5734,100,"???"
0,"1.00E+11",1596.54,5734,100,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",1500,4814,0,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",500,5968,0,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",1000,4814,0,"???"
3000,"1.00E+11",87,4121,0,"???"
3000,"1.00E+11",111,4121,0,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",1899,4814,0,"???"
0,"1.00E+11",1999,4814,0,"???"
0,"1.00E+11",57,4121,0,"???"
0,"1.00E+11",50,4899,0,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",1679,7399,0,"???"
0,"1.00E+11",800,5968,0,"???"
0,"1.00E+11",2970,4814,0,"???"
0,"1.00E+11",411.82,4814,116,"???"
0,"1.00E+11",100,4814,0,"???"
0,"1.00E+11",75,8999,0,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",140,4814,0,"???"
0,"1.00E+11",1000,4814,0,"???"
0,"1.00E+11",299,7399,0,"???"
0,"1.00E+11",8.85,5968,100,"???"
0,"1.00E+11",2705.6,5734,101,"???"
0,"1.00E+11",2705.6,5734,101,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",5,4814,0,"???"
0,"1.00E+11",800,5968,0,"???"
0,"1.00E+11",1000,4814,116,"???"
0,"1.00E+11",100,4814,100,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",1619.74,4814,100,"???"
0,"1.00E+11",1000,4814,0,"???"
0,"1.00E+11",749,4814,100,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",1110,5045,100,"???"
0,"1.00E+11",1000,4814,0,"???"
0,"1.00E+11",212.99,4814,0,"???"
0,"1.00E+11",99,4899,0,"???"
0,"1.00E+11",36585.32,7372,100,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",5,4814,0,"???"
0,"1.00E+11",477.9,4814,100,"???"
0,"1.00E+11",2000,4814,0,"???"
0,"1.00E+11",1000,4814,0,"???"
0,"1.00E+11",199,7829,0,"???"
0,"1.00E+11",1073,4814,100,"???"
0,"1.00E+11",49,5733,100,"???"
0,"1.00E+11",5714.46,4814,100,"???"
0,"1.00E+11",199,7829,0,"???"
0,"1.00E+11",93.84,7278,0,"???"
0,"1.00E+11",2000,4814,100,"???"
0,"1.00E+11",349,4814,0,"???"
0,"1.00E+11",199,7829,0,"???"
0,"1.00E+11",100,4814,0,"???"
0,"1.00E+11",20.98,5968,0,"???"
0,"1.00E+11",446.77,4814,0,"???"
0,"1.00E+11",200,4814,100,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",650,5968,100,"???"
0,"1.00E+11",1000,4814,0,"???"
0,"1.00E+11",800,5968,0,"???"
0,"1.00E+11",500,4899,116,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",39.95,5967,116,"???"
0,"1.00E+11",427,4814,100,"???"
0,"1.00E+11",500,4814,116,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",1863,6300,0,"???"
0,"1.00E+11",160,4814,0,"???"
0,"1.00E+11",343.38,7278,0,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",750,4899,0,"???"
0,"1.00E+11",50,4899,0,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",250,4121,100,"???"
0,"1.00E+11",250,4121,100,"???"
0,"1.00E+11",1000,4814,100,"???"
0,"1.00E+11",72,4121,0,"???"
0,"1.00E+11",199,7829,0,"???"
0,"1.00E+11",800,5968,0,"???"
0,"1.00E+11",500,5968,0,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",25,4814,0,"???"
0,"1.00E+11",377.6,4814,100,"???"
0,"1.00E+11",1000,5399,0,"???"
0,"1.00E+11",937.21,4814,100,"???"
0,"1.00E+11",75.35,7278,0,"???"
0,"1.00E+11",800,5968,0,"???"
0,"1.00E+11",650,5968,0,"???"
0,"1.00E+11",2000,4814,116,"???"
